Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Sous,Leur Valeur (sub-total 1),Sous,Leur Valeur (sub-total 2),Sous,Leur Valeur (sub-total 3),Sous,Total,Sous,
Fatima zahra,,1757,23,Cages,Flandre,,300,,,,,,,,,,
Fatima zahra,,1757,23,Calamine,Hollande,,35,,,,,,,,,,
Fatima zahra,,1757,23,Calamus,Hollande,,14,,,,,,,,,,
Fatima zahra,,1757,23,Calottes,Flandre,,30,,,,,,,,,,
Fatima zahra,,1757,23,Camelot ; de poil,Hollande,,8 181,5,,,,,,,8 181,5,
Fatima zahra,,1757,23,Camphre,Hollande,,14 947,,,,,,,,17 341,,
Fatima zahra,,1757,23,Camphre,Nord,,2 394,,,,,,,,17 341,,
Fatima zahra,,1757,23,Canardieres,Hollande,,290,,,,,,,,,,
Fatima zahra,,1757,24,Canefice,Espagne,,9 936,,,,,,,,15 831,,
Fatima zahra,,1757,24,Canefice,Isles,,5 295,,,,,,,,15 831,,
Fatima zahra,,1757,24,Canefice,Portugal,,600,,,,,,,,15 831,,
Fatima zahra,,1757,24,Canelle,Espagne,,13 500,,,,,,,,295 959,,
Fatima zahra,,1757,24,Canelle,Hollande,,231 273,,,,,,,,295 959,,
Fatima zahra,,1757,24,Canelle,Italie,,14 382,,,,,,,,295 959,,
Fatima zahra,,1757,24,Canelle,Nord,,400,,,,,,,,295 959,,
Fatima zahra,,1757,24,Canelle,Portugal,,36 404,,,,,,,,295 959,,
Fatima zahra,,1757,24,Cannes à  main,Hollande,,10 688,,,,,,,,10 718,,
Fatima zahra,,1757,24,Cannes à  main,Savoye,,30,,,,,,,,10 718,,
Fatima zahra,,1757,24,Cannevettes,Hollande,,1 330,,,,,,,,,,
Fatima zahra,,1757,24,Canons ; de fer,Angleterre,,479,12,104 810,14,,,,,105 501,4,
Fatima zahra,,1757,24,Canons ; de fer,Espagne,,48 600,,104 810,14,,,,,105 501,4,
Fatima zahra,,1757,24,Canons ; de fer,Flandre,,4 760,,104 810,14,,,,,105 501,4,
Fatima zahra,,1757,24,Canons ; de fer,Hollande,,5 850,,104 810,14,,,,,105 501,4,
Fatima zahra,,1757,24,Canons ; de fer,Italie,,41 700,,104 810,14,,,,,105 501,4,
Fatima zahra,,1757,24,Canons ; de fer,Suede,,3 421,2,104 810,14,,,,,105 501,4,
