Data entry by,Source,Source,Year,Sheet,exportsimports,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Allemagne,,6285,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Espagne,,25813,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Flandre,,2382,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Hollande,,1584,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Isles,,17063,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Italie,,3376,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Nord,,5040,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Portugal,,459752,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; corroïées,Suede,,594,521888,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; en grain,Portugal,,5400,0,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; en poil,Allemagne,,171,11813.6,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; en poil,Espagne,,9495,11813.6,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; en poil,Savoye,,187.2,11813.6,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; en poil,Suisse,,1961,11813.6,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Allemagne,,886,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Angleterre,,288,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Espagne,,38919.3,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Flandre,,382,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Italie,,178391.5,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Levant,,52285,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; de veau ; tannées,Savoye,,2966,274115.9,813217.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Allemagne,,16425,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Espagne,,6650,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Flandre,,1240,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Hollande,,5600,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Italie,,24420,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Levant,,4613,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Nord,,350,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Savoye,,89590,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; aprestée,Suisse,,275735,424622.5,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Allemagne,,39380,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Danemark,,1000,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Hollande,,13855,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Nord,,86320,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Savoye,,13237,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; du Canada,Suisse,,81680,235472,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; crüe,Flandre,,40,1172,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; crüe,Hollande,,604,1172,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,102,exports,Peaux ; pelleterie ; crüe,Nord,,528,1172,661266.5,2383568.35,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Pekin,Hollande,,7240,0,0,22530,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Pekin,Nord,,15290,0,0,22530,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Angleterre,,156,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Espagne,,23718,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Hollande,,161.5,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Italie,,8187,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Levant,,13605,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Portugal,,473,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de buis,Savoye,,505,46804.75,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; de corne,Angleterre,,49.5,0,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peignes ; à tisserand,Savoye,,120,0,0,46973.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Pinçeaux,Guinee,,90,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peintures,Espagne,,40,0,0,102.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peintures,Guinee,,63,0,0,102.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Pelles de boix,Allemagne,,15,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Allemagne,,201059,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Danemark,,63,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Espagne,,45224,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Flandre,,103870,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Guinee,,1620,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Hollande,,630,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Isles,,765,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Italie,,101514,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Levant,,32,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Nord,,80,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Portugal,,69810,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Russie,,1640,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Savoye,,11070,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Peluche,Suisse,,26250,0,0,563626.5,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Perles fausses,Flandre,,20,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Perpetuanne,Flandre,,152,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Perriers,Levant,,25,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Perruques,Flandre,,433,0,0,613,,
Saadia Mai,,Montbret 155-1,1755,103,exports,Perruques,Isles,,180,0,0,613,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Philipichine,Espagne,,4680,0,0,5820,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Philipichine,Levant,,1140,0,0,5820,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Picotte,Espagne,,6160,0,0,7056,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Picotte,Flandre,,896,0,0,7056,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pienne ; de fil,Hollande,,1000,0,0,3271,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pienne ; de laine,Hollande,,2271,0,0,3271,,
