Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Total,deniers ,Remarks,
Saadia Mai,,1754,2,Achia,Hollande,,4,,,,,,,,,
Saadia Mai,,1754,2,Acier,Allemagne,,26 920,7,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Angleterre,,1 330,,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Danemark,,539,5,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Espagne ,,1 365,,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Flandre,,822,10,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Hollande,,140 403,19,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Italie,,15 960,,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Levant,,980,,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Nord,,16 933,5,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Suède,,38 252,5,,,,,248 149,19,,
Saadia Mai,,1754,2,Acier,Suisse,,4 643,8,,,,,248 149,19,,
Saadia Mai,,1754,2,Agarie,Espagne ,,19,10,,,,,1 748,,,
Saadia Mai,,1754,2,Agarie,Hollande,,412,10,,,,,1 748,,,
Saadia Mai,,1754,2,Agarie,Italie,,540,,,,,,1 748,,,
Saadia Mai,,1754,2,Agarie,Savoye ,,76,,,,,,1 748,,,
Saadia Mai,,1754,2,Agarie,Suisse,,700,,,,,,1 748,,,
Saadia Mai,,1754,2,Agathe,Hollande,,750,,,,,,,,,
Saadia Mai,,1754,2,Agneaux,Allemagne,,4,,,,,,192,,,
Saadia Mai,,1754,2,Agneaux,Italie,,36,,,,,,192,,,
Saadia Mai,,1754,2,Agneaux,Savoye ,,152,,,,,,192,,,
Saadia Mai,,1754,3,Ajamir,Levant,,1 140 750,,,,,,,,,
Saadia Mai,,1754,3,Aigrettes,Flandre,,7,,,,,,,,,
Saadia Mai,,1754,3,Aiguiller,Allemagne,,503 515,,,,,,545 515,10,,
Saadia Mai,,1754,3,Aiguiller,Flandre,,23 402,10,,,,,545 515,10,,
Saadia Mai,,1754,3,Aiguiller,Hollande,,18 523,,,,,,545 515,10,,
Saadia Mai,,1754,3,Aiguiller,Savoye,,75,,,,,,545 515,10,,
Saadia Mai,,1754,3,Ailer,Espagne,,3 599,15,,,,,4 594,15,,
Saadia Mai,,1754,3,Ailer,Italie,,995,,,,,,4 594,15,,
Saadia Mai,,1754,3,Alambics,Allemagne,,20,,,,,,,,,
Saadia Mai,,1754,3,Alaya,Levant,,22 940,,,,,,,,,
Saadia Mai,,1754,3,Alocir,Hollande,,385,10,,,,,2 763,,,
Saadia Mai,,1754,3,Alocir,Levant,,2 377,10,,,,,2 763,,,
Saadia Mai,,1754,3,Allumettes,Hollande,,550,10,,,,,684,10,,
Saadia Mai,,1754,3,Allumettes,Italie,,65,,,,,,684,10,,
Saadia Mai,,1754,3,Allumettes,Savoye,,69,,,,,,684,10,,
Saadia Mai,,1754,3,Alun,Allemagne,,19 699,15,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Danemark,,6 965,,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Espagne,,288,18,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Hollande,,51 866,8,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Italie,,120 280,16,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Levant,,53 437,2,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Nord,,39 949,5,,,,,297 571,14,,
Saadia Mai,,1754,3,Alun,Suede,,5 084,10,,,,,297 571,14,,
Saadia Mai,,1754,4,Amadou,Allemagne,,2 585,,,,,,3 460,,,
Saadia Mai,,1754,4,Amadou,Italie,,875,,,,,,3 460,,,
Saadia Mai,,1754,4,Amandes; cassees,Espagne,,47 940,15,,,,,52 353,10,,
Saadia Mai,,1754,4,Amandes; en coques,Allemagne,,1,4,4 412,15,,,52 353,10,,
Saadia Mai,,1754,4,Amandes; en coques,Espagne,,1 098,15,4 412,15,,,52 353,10,,
Saadia Mai,,1754,4,Amandes; en coques,Italie,,3 062,16,4 412,15,,,52 353,10,,
Saadia Mai,,1754,4,Amandes; en coques,Portugal,,250,,4 412,15,,,52 353,10,,
Saadia Mai,,1754,4,Ambre,Hollande,,16 259,,,,,,31 299,,,
Saadia Mai,,1754,4,Ambre,Levant,,12 000,,,,,,31 299,,,
Saadia Mai,,1754,4,Ambre,Nord,,3 040,,,,,,31 299,,,
Saadia Mai,,1754,4,Amecons,Hollande,,6 034,10,,,,,15 807,,,
Saadia Mai,,1754,4,Amecons,Nord,,9 772,10,,,,,15 807,,,
Saadia Mai,,1754,4,Amidon,Allemagne,,12,,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Danemark,,2 151,2,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Espagne,,1 933,4,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Hollande,,19 617,10,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Italie,,30,,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Nord,,94 434,18,,,,,118 196,14,,
Saadia Mai,,1754,4,Amidon,Savoye,,18,,,,,,118 196,14,,
Saadia Mai,,1754,4,Anabas,Hollande,,87 000,,,,,,,,,
Milewski,,1754,5,Anchois,Espagne,,37 085,16,,,,,39 987,1,,
Milewski,,1754,5,Anchois,Flandre,,26,5,,,,,39 987,1,,
Milewski,,1754,5,Anchois,Italie,,2 820,,,,,,39 987,1,,
Milewski,,1754,5,Anchois,Savoye,,55,,,,,,39 987,1,,
Milewski,,1754,5,Ancres; de fer,Danemark,,223,,,,,,54 030,5,le total aurait du être 54030-15,
Milewski,,1754,5,Ancres; de fer,Espagne,,14 296,1,,,,,54 030,5,,
Milewski,,1754,5,Ancres; de fer,Hollande,,11 170,18,,,,,54 030,5,,
Milewski,,1754,5,Ancres; de fer,Italie,,21 620,,,,,,54 030,5,,
Milewski,,1754,5,Ancres; de fer,Suede,,6 720,16,,,,,54 030,5,,
Milewski,,1754,5,Anis,Espagne,,15 932,16,,,,,33 798,13,,
Milewski,,1754,5,Anis,Hollande,,125,11,,,,,33 798,13,,
Milewski,,1754,5,Anis,Italie,,10 664,16,,,,,33 798,13,,
Milewski,,1754,5,Anis,Levant,,7 075,10,,,,,33 798,13,,
Milewski,,1754,5,Anspects,Danemark,,1 471,16,,,,,4 904,16,,
Milewski,,1754,5,Anspects,Hollande,,90,,,,,,4 904,16,,
Milewski,,1754,5,Anspects,Nord,,300,,,,,,4 904,16,,
Milewski,,1754,5,Anspects,Russie,,2 766,,,,,,4 904,16,,
Milewski,,1754,5,Anspects,Suede,,277,,,,,,4 904,16,,
Saadia Mai,,1754,6,Antimoine,Hollande,,109,2,,,,,110,12,,
Saadia Mai,,1754,6,Antimoine,Suisse,,1,10,,,,,110,12,,
Saadia Mai,,1754,6,Antolphe,Hollande,,348,,,,,,,,,
Saadia Mai,,1754,6,Apioa,Hollande,,117,,,,,,,,,
Saadia Mai,,1754,6,Arbres à planter,Angleterre,,24,,,,,,4 637,,,
Saadia Mai,,1754,6,Arbres à planter,Flandre,,223,,,,,,4 637,,,
Saadia Mai,,1754,6,Arbres à planter,Hollande,,100,,,,,,4 637,,,
Saadia Mai,,1754,6,Arbres à planter,Italie,,4 290,,,,,,4 637,,,
Saadia Mai,,1754,6,Arcenic,Hollande,,4 244,14,,,,,7 295,6,,
Saadia Mai,,1754,6,Arcenic,Nord,,3 050,12,,,,,7 295,6,,
Saadia Mai,,1754,6,Ardoises,Allemagne,,42 675,,,,,,48 116,,,
Saadia Mai,,1754,6,Ardoises,Angleterre,,1 080,,,,,,48 116,,,
Saadia Mai,,1754,6,Ardoises,Flandre,,4 125,,,,,,48 116,,,
Saadia Mai,,1754,6,Ardoises,Italie,,200,,,,,,48 116,,,
Saadia Mai,,1754,6,Ardoises,Levant,,36,,,,,,48 116,,,
Saadia Mai,,1754,6,Argent vif,Espagne,,1 840,,,,,,69 437,10,,
Saadia Mai,,1754,6,Argent vif,Flandre,,30,,,,,,69 437,10,,
Saadia Mai,,1754,6,Argent vif,Hollande,,25 561,10,,,,,69 437,10,,
Saadia Mai,,1754,6,Argent vif,Italie,,42 000,,,,,,69 437,10,,
Saadia Mai,,1754,6,Argent vif,Suisse,,6,,,,,,69 437,10,,
Saadia Mai,,1754,6,Argenterie,Allemagne,,200,,,,,,100 559,15,le total devrait être ,100 518-15
Saadia Mai,,1754,6,Argenterie,Angleterre,,11 217,15,,,,,100 559,15,,
Saadia Mai,,1754,6,Argenterie,Flandre,,115,,,,,,100 559,15,,
Saadia Mai,,1754,6,Argenterie,Italie,,88 886,,,,,,100 559,15,,
Saadia Mai,,1754,6,Argenterie,Suisse,,100,,,,,,100 559,15,,
Saadia Mai,,1754,7,Armes à feux; diverses,Allemagne,,248 370,,264 672,,,,271 473,,,
Saadia Mai,,1754,7,Armes à feux; diverses,Hollande,,16 302,,264 672,,,,271 473,,,
Saadia Mai,,1754,7,Armes à feux; Fusils,Flandre,,6 801,,,,,,271 473,,,
Saadia Mai,,1754,7,Arquifou,Angleterre,,22 170,,,,,,29 929,1,,
Saadia Mai,,1754,7,Arquifou,italie,,3 593,11,,,,,29 929,1,,
Saadia Mai,,1754,7,Arquifou,savoye,,4 165,10,,,,,29 929,1,,
Saadia Mai,,1754,7,Artichaux,savoye,,173,5,,,,,,,,
Saadia Mai,,1754,7,Asnes,savoye,,1 552,10,,,,,,,,
Saadia Mai,,1754,7,Auf,Espagne,,350,,,,,,830,,,
Saadia Mai,,1754,7,Auf,savoye,,480,,,,,,830,,,
Saadia Mai,,1754,7,Aviron,Allemagne,,520,4,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,danemark,,1 097,5,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,Espagne,,6 635,,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,Hollande,,300,,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,Italie,,7 859,,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,russie,,112,16,,,,,16 533,5,,
Saadia Mai,,1754,7,Aviron,suède,,9,,,,,,16 533,5,,
Saadia Mai,,1754,7,Avoine,Angleterre,,2 517,,,,,,442 832,10,,
Saadia Mai,,1754,7,Avoine,danemark,,18 776,,,,,,442 832,10,,
Saadia Mai,,1754,7,Avoine,Hollande,,244 193,10,,,,,442 832,10,,
Saadia Mai,,1754,7,Avoine,nord,,172 571,,,,,,442 832,10,,
Saadia Mai,,1754,7,Avoine,suede,,4 775,,,,,,442 832,10,,
Saadia Mai,,1754,8,Azur,Allemagne,,14,,,,,,220 001,9,,
Saadia Mai,,1754,8,Azur,Flandre,,620,2,,,,,220 001,9,,
Saadia Mai,,1754,8,Azur,Hollande,,126 515,7,,,,,220 001,9,,
