Data entry by,Source,Year,Sheet,Marchandises,Pays,Quotités,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,Remarks
Loïc Charles,AN F12 245,1777,2,Acier,Allemagne,139 895,48 116,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Danemark,8 590,3 006,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Flandre,36 259,12 690,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Hollande,655 578,230 827,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Italie ,12 619,4 416,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Genes,21 923,7 673,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Nord,54 008,18 912,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Suède,408 738,107 822,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Acier,Suisse,27 798,9 729,,,,443 191,
Loïc Charles,AN F12 245,1777,2,Aiguilles,Allemagne,106 309,249 666,,,,276 792,
Loïc Charles,AN F12 245,1777,2,Aiguilles,Flandre,5 064,24 973,,,,276 792,
Loïc Charles,AN F12 245,1777,2,Aiguilles,Hollande,548,2 333,,,,276 792,
Loïc Charles,AN F12 245,1777,2,Ails,Espagne,389 920,3 892,,,,12 360,
Loïc Charles,AN F12 245,1777,2,Ails,Italie,50 570,8 468,,,,12 360,
Loïc Charles,AN F12 245,1777,2,Aloës,Hollande,847,1 387,,,,15 087,
Loïc Charles,AN F12 245,1777,2,Aloës,Isles,3 425,13 700,,,,15 087,
Loïc Charles,AN F12 245,1777,2,Alpargalle,Espagne,,,,,,1 209,
Loïc Charles,AN F12 245,1777,2,Alun,Allemagne,35 966,7 432,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Angleterre,806 332,157 326,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Danemark,11 585,2 317,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Espagne,135 085,27 017,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Flandre,268 534,53 706,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Hollande,256 310,52 196,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Italie ,410 000,82 000,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Nord,30 000,6 000,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Savoye,111 935,22 387,,,,423 564,
Loïc Charles,AN F12 245,1777,2,Alun,Suède,65 915,13 183,,,,423 564,
Eszter H.,AN F12 245,1777,4,Amadon,Allemagne,59 925,41 841,,,,45 915,
Eszter H.,AN F12 245,1777,4,Amadon,Hollande,1 882,1 882,,,,45 915,
Eszter H.,AN F12 245,1777,4,Amadon,Naples,1 600,1 120,,,,45 915,
Eszter H.,AN F12 245,1777,4,Amadon,Savoye,1 072,1 072,,,,45 915,
Eszter H.,AN F12 245,1777,4,Amandeic,Espagne,203 319,79 969,,,,124 600,
Eszter H.,AN F12 245,1777,4,Amandeic,Hollande,29 177,17 506,,,,124 600,
Eszter H.,AN F12 245,1777,4,Amandeic,Italie,88 000,17 600,,,,124 600,
Eszter H.,AN F12 245,1777,4,Amandeic,Levant,31 750,9 525,,,,124 600,
Eszter H.,AN F12 245,1777,4,Ambre,Hollande,16,6 500,,,,,
Eszter H.,AN F12 245,1777,4,Ameconie,Espagne,30 000,3 000,,,,,
Eszter H.,AN F12 245,1777,4,Amidon,Hollande,2 720,1 224,,,,,
Eszter H.,AN F12 245,1777,4,Anacardes,Hollande,575,1 150,,,,,
Eszter H.,AN F12 245,1777,4,Anchboie,Espagne,474 554,,,,,224 860,
Eszter H.,AN F12 245,1777,4,Anchboie,Espagne,390,208 830,,,,224 860,2 qtités pour Espagne
Eszter H.,AN F12 245,1777,4,Anchboie,Italie,579,2 605,,,,224 860,
Eszter H.,AN F12 245,1777,4,Anchboie,Savoye,53 700,13 425,,,,224 860,
Eszter H.,AN F12 245,1777,4,Aniec,Espagne,66 766,14 659,,,,17 952,
Eszter H.,AN F12 245,1777,4,Aniec,Hollande,735,1 837,,,,17 952,
Eszter H.,AN F12 245,1777,4,Aniec,Italie,7 280,1 456,,,,17 952,
Eszter H.,AN F12 245,1777,4,Arbres aplanter,Genes,63 950,6 395,,,,,
Eszter H.,AN F12 245,1777,4,Arcenic,Hollande,10 912,2 648,,,,4 483,
Eszter H.,AN F12 245,1777,4,Arcenic,Nord,7 340,1 835,,,,4 483,
Eszter H.,AN F12 245,1777,4,Argent enlingots,Espagne,,12 745,,,,,
Eszter H.,AN F12 245,1777,6,Argent oeis,Allemagne,18 700,65 450,,,,286 830,
Eszter H.,AN F12 245,1777,6,Argent oeis,Hollande,255,1 070,,,,286 830,
Eszter H.,AN F12 245,1777,6,Argent oeis,Genes,44 062,220 310,,,,286 830,
Eszter H.,AN F12 245,1777,6,Argenterie,Allemagne,,3 601,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Angleterre,527,25 324,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Danemark,28,1 400,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Flandre,,4 275,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Hollande,,2 000,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Italie,34,1 700,,,,41 600,
Eszter H.,AN F12 245,1777,6,Argenterie,Venice,66,3 300,,,,41 600,
Eszter H.,AN F12 245,1777,6,Armeic; blanches,Allemagne,12 777,29 950,48 138,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; blanches,Flandre,2 937,5 808,48 138,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; blanches,Hollande,5 590,11 180,48 138,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; blanches,Nord,600,1 200,48 138,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; à feu,Allemagne,173 274,467 120,559 528,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; à feu,Flandre,31 480,42 705,559 528,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; à feu,Hollande,7 243,14 403,559 528,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; à feu,Italie,200,24 000,559 528,,,607 666,
Eszter H.,AN F12 245,1777,6,Armeic; à feu,Nord,11 300,11 300,559 528,,,607 666,
Eszter H.,AN F12 245,1777,6,Arquifou,Espagne,417 767,62 665,,,,64 363,
Eszter H.,AN F12 245,1777,6,Arquifou,Savoye,11 324,1 698,,,,64 363,
Eszter H.,AN F12 245,1777,6,Assaseuda,Hollande,660,1 650,,,,,
Eszter H.,AN F12 245,1777,6,Atelles de colliers,Allemagne,960,7 027,,,,,
Eszter H.,AN F12 245,1777,6,Aus,Espagne,1 055 640,105 564,,,,123 064,
Eszter H.,AN F12 245,1777,6,Aus,Nord,77 000,17 500,,,,123 064,
Eszter H.,AN F12 245,1777,6,Avirons,Danemark,1 593,4 250,,,,41 468,
Eszter H.,AN F12 245,1777,6,Avirons,Espagne,10 237,25 593,,,,41 468,
Eszter H.,AN F12 245,1777,6,Avirons,Italie,2 860,7 150,,,,41 468,
Eszter H.,AN F12 245,1777,6,Avirons,Naples,1 790,4 475,,,,41 468,
Frédéric Duprez,AN F12 245,1777,8,Avoine,Angleterre,832 346,41 617,,,,485 158,
Frédéric Duprez,AN F12 245,1777,8,Avoine,Espagne,908 250,79 625,,,,485 158,
