Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Deniers,Leur Valeur (sub-total 1),Deniers,Leur Valeur (sub-total 2),deniers,Total,Deniers,Remarks,
Fatima zahra,,1759,2,Acier,Allemagne,,40 918,6,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Espagne,,158,10,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Flandre,,266,,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Geneve,,55,16,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Hollande,,139 388,13,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Italie,,525,,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Genes,,192,,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Nord,,6 932,16,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Suede,,25 477,,,,,,216 271,6,,
Fatima zahra,,1759,2,Acier,Suisse,,2 357,5,,,,,216 271,6,,
Fatima zahra,,1759,2,Acorus,Hollande,,123,15,,,,,,,,
Fatima zahra,,1759,2,Agaric,Hollande,,12,,,,,,,,,
Fatima zahra,,1759,2,Ajamix,Levant,,241 065,,,,,,,,,
Fatima zahra,,1759,2,Aiguilles,Allemagne,,385 814,,,,,,407 299,,,
Fatima zahra,,1759,2,Aiguilles,Flandre,,20 700,,,,,,407 299,,,
Fatima zahra,,1759,2,Aiguilles,Hollande,,770,,,,,,407 299,,,
Fatima zahra,,1759,2,Aiguilles,Savoye,,15,,,,,,407 299,,,
Fatima zahra,,1759,4,Ails,Espagne,,6 176,8,,,,,8 804,3,,
Fatima zahra,,1759,4,Ails,Italie,,18,15,,,,,8 804,3,,
Fatima zahra,,1759,4,Ails,Genes,,2 600,,,,,,8 804,3,,
Fatima zahra,,1759,4,Ails,Savoye,,9,,,,,,8 804,3,,
Fatima zahra,,1759,4,Ains à pecher,Geneve,,300,,,,,,450,,,
Fatima zahra,,1759,4,Ains à pecher,Hollande,,150,,,,,,450,,,
Fatima zahra,,1759,4,Alaya,Levant,,3 944,,,,,,,,,
Fatima zahra,,1759,4,Aloes,Flandre,,1 113,8,,,,,12 227,12,,
Fatima zahra,,1759,4,Aloes,Hollande,,3 812,4,,,,,12 227,12,,
Fatima zahra,,1759,4,Aloes,Levant,,7 302,,,,,,12 227,12,,
Fatima zahra,,1759,4,Alpargattes,Espagne,,109,16,,,,,,,,
Fatima zahra,,1759,4,Alumettes,Hollande,,1 191,12,,,,,1 231,12,,
Fatima zahra,,1759,4,Alumettes,Savoye,,40,,,,,,1 231,12,,
